OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA
134705264,374,Maryland Ave & E St NE,31640,38.896134,-76.9929,YES,NO,,,NO,2,17,400615.91481674,136476.16859309,
134705265,375,New York Ave & Hecht Ave NE,31518,38.915604,-76.983683,YES,NO,,,NO,4,19,401415.09002301,138637.59947305,
134705266,376,Yuma St & Tenley Circle NW,31316,38.946182,-77.08059,YES,NO,,,NO,12,7,393013.83863539,142034.97914405,
134705267,377,Connecticut Ave & Chevy Chase Lake Dr,32051,38.994113,-77.076986,YES,NO,,,NO,6,9,393330.74818065,147355.50381716,
134705268,378,Key West Ave & Siesta Key Way,32052,39.105295,-77.194774,YES,NO,,,NO,8,7,383153.18792963,159713.13218025,
134705269,379,Lee Hwy & N Woodstock St,31900,38.898301,-77.118009,YES,NO,,,NO,5,14,389763.20231192,136723.31546751,
134705270,380,Saint Asaph & Madison St,31097,38.812718,-77.044097,YES,NO,,,NO,10,5,396170.17569938,127217.29681658,
134705271,381,King St Metro North / Cameron St,31098,38.80704,-77.059817,YES,NO,,,NO,5,10,394804.48092072,126587.77988315,
134705272,382,Madison & N Henry St,31099,38.813485,-77.049468,YES,NO,,,NO,8,7,395703.75054801,127302.6777771,
134705273,383,Medical Center Metro,32053,38.999378,-77.097882,YES,NO,,,NO,4,12,391521.16731482,147941.70542165,
134705274,384,Washington Blvd & N Frederick St,31901,38.884829,-77.127671,YES,NO,,,NO,4,7,388922.97236949,135228.94699865,
134705275,385,Wisconsin Ave & Ingomar St NW,31317,38.958267,-77.084636,YES,NO,,,NO,6,13,392664.34410016,143376.84095484,
134705276,386,16th & Irving St NW,31122,38.928893,-77.03625,YES,NO,,,NO,11,8,396856.808607,140113.28859173,
134705277,387,16th & R St NW,31282,38.912652,-77.036278,YES,NO,,,NO,5,14,396853.66429606,138310.40167951,
134705278,388,Lyttonsville Rd & Lyttonsville Pl,32054,38.999679,-77.051168,YES,NO,,,NO,7,7,395567.69234355,147971.8160368,
134705279,389,Woodmont Ave & Strathmore St,32055,38.979875,-77.093522,YES,NO,,,NO,6,5,391896.62547178,145776.283872,
134705280,390,14th & L St NW,31283,38.903658,-77.031737,YES,NO,,,NO,17,2,397247.15119261,137311.8474609,
134705281,391,1st & O St NW,31519,38.908643,-77.012365,YES,NO,,,NO,1,14,398927.54207227,137864.81714313,
134705282,392,South Capitol & Atlantic St SW,31811,38.831516,-77.008133,YES,NO,,,NO,7,12,399293.83485771,129303.10478708,
134705283,393,18th & C St NW,31284,38.893511,-77.041544,YES,NO,,,NO,12,6,396395.98519699,136185.79095053,
134705284,394,22nd & P ST NW,31285,38.909394,-77.048728,YES,NO,,,NO,11,8,395773.70179205,137949.23962405,
134705285,395,East West Hwy & 16th St,32056,38.995681,-77.038721,YES,NO,,,NO,5,14,396645.69611866,147527.46678748,
134705286,396,Royal & Wilkes St,31903,38.799267,-77.0447,YES,NO,,,NO,12,2,396117.07402725,125724.17677004,
134705287,397,14th & Girard St NW,31123,38.925284,-77.032375,YES,NO,,,NO,3,20,397192.66283204,139712.53240828,
134705288,398,Potomac Ave & Main Line Blvd,31910,38.822738,-77.049265,YES,NO,,,NO,7,12,395721.93521693,128329.81125103,
134705289,399,11th & O St NW,31286,38.90843,-77.02714,YES,NO,,,NO,9,10,397646.04975824,137841.44968105,
134705290,400,10th St & L'Enfant Plaza SW,31287,38.884377,-77.025791,YES,NO,,,NO,5,18,397762.29904386,135171.34175438,
134705291,401,Connecticut Ave & Yuma St NW,31318,38.947156,-77.065115,YES,NO,,,NO,12,6,394355.40758835,142142.03129017,
